wvs	L_nont_mars	L_nont_moon	L_nont_europa	iof_mix_mars	iof_nont_moon	iof_nont_europa
0.1965	0.061068233	0.091602348	0.017615838	0.047899014	0.047899013	0.047899017
0.19750001	0.062568359	0.093852542	0.018048566	0.047625016	0.047625016	0.047625016
0.19850001	0.0621682	0.093252294	0.017933134	0.047351018	0.047351017	0.047351018
0.19949999	0.066573709	0.099860571	0.019203957	0.047077016	0.047077018	0.04707702
0.2005	0.072761163	0.10914174	0.020988798	0.046803016	0.046803016	0.046803017
0.2015	0.07921721	0.11882581	0.022851117	0.046529018	0.046529017	0.046529018
0.2025	0.081086829	0.12163024	0.023390431	0.046255018	0.046255015	0.046255017
0.2035	0.089934632	0.13490196	0.025942683	0.045981012	0.045981013	0.045981011
0.2045	0.099418126	0.14912719	0.028678307	0.045707014	0.045707013	0.045707015
0.20550001	0.10161809	0.15242714	0.029312911	0.045433015	0.045433015	0.045433015
0.20649999	0.10618009	0.15927014	0.030628873	0.045159018	0.045159018	0.045159018
0.2075	0.12048994	0.1807349	0.034756713	0.044885016	0.044885017	0.044885017
0.2085	0.14247461	0.21371192	0.041098446	0.044611015	0.044611018	0.044611016
0.2095	0.20115601	0.301734	0.058025774	0.044337014	0.044337016	0.044337019
0.2105	0.26106486	0.39159733	0.075307176	0.044063011	0.044063013	0.044063012
0.2115	0.31166431	0.46749648	0.089903168	0.043789011	0.043789016	0.04378901
0.21250001	0.2890296	0.43354437	0.083373919	0.043515014	0.043515014	0.043515013
0.21349999	0.30418533	0.45627803	0.087745778	0.043241014	0.043241014	0.043241017
0.2145	0.36498886	0.54748327	0.10528526	0.042967012	0.042967011	0.042967013
0.2155	0.32750955	0.49126434	0.094473913	0.042693014	0.042693013	0.04269301
0.2165	0.29048145	0.43572217	0.083792724	0.042419014	0.042419013	0.042419011
0.2175	0.31561434	0.47342151	0.091042608	0.042145015	0.042145013	0.042145014
0.2185	0.39424095	0.5913614	0.11372335	0.041871009	0.041871009	0.041871011
0.21950001	0.4141703	0.62125546	0.11947221	0.041597008	0.041597011	0.04159701
0.22050001	0.41503748	0.62255621	0.11972236	0.041323008	0.041323009	0.04132301
0.22149999	0.34477627	0.51716447	0.099454701	0.041049014	0.041049017	0.041049015
0.2225	0.4296079	0.6444118	0.12392535	0.040775015	0.040775013	0.040775011
0.2235	0.54154456	0.81231689	0.15621479	0.040501014	0.040501013	0.040501013
0.2245	0.50339365	0.75509048	0.14520971	0.040227009	0.040227007	0.040227009
