"wvs,"	"L_mix_mars,"	"L_mix_moon,"	"L_mix_europa,"	"iof_mix_mars,"	"iof_mix_moon,"	iof_mix_europa
0.52649999	29.74515	44.617725	8.5803328	0.083734001	0.083734008	0.08373401
0.52749997	32.673965	49.010948	9.4251823	0.08423	0.084229995	0.084229995
0.52850002	34.106956	51.160439	9.8385458	0.084726018	0.084726018	0.084726018
0.52950001	34.686401	52.029602	10.005693	0.085222017	0.085222009	0.085222015
0.53049999	35.505077	53.257614	10.24185	0.085714004	0.085714003	0.085714005
0.53149998	35.908432	53.862652	10.358202	0.086201989	0.086201995	0.086201992
0.53250003	32.561256	48.841885	9.3926697	0.086690007	0.086690002	0.086690001
0.53350002	35.575012	53.362518	10.262023	0.087178001	0.087177999	0.087178
0.5345	34.56493	51.847397	9.9706535	0.087665989	0.08766599	0.087665986
0.53549999	37.222839	55.834263	10.737359	0.088144982	0.088144984	0.088144988
0.53649998	35.183559	52.775341	10.149104	0.088614972	0.088614977	0.088614975
0.53750002	35.578121	53.367184	10.26292	0.089084994	0.089084991	0.089084991
0.53850001	36.183922	54.275879	10.43767	0.089554997	0.089554992	0.089554995
0.5395	34.998337	52.497501	10.095674	0.090024986	0.090024986	0.090024983
0.54049999	33.968597	50.952896	9.7986345	0.090487983	0.090487991	0.09048799
0.54149997	36.30125	54.451878	10.471515	0.090943976	0.090943974	0.090943975
0.54250002	35.397118	53.09568	10.210708	0.091399998	0.091400002	0.091399996
0.54350001	36.626308	54.939465	10.565282	0.091856003	0.091856001	0.091856001
0.54449999	36.808128	55.212196	10.61773	0.092311993	0.092311995	0.092311994
0.54549998	37.420624	56.130936	10.794411	0.092761987	0.092761992	0.092761983
0.54650003	37.164608	55.746914	10.72056	0.093206017	0.093206016	0.093206011
0.54750001	36.427475	54.641216	10.507926	0.093649993	0.093650004	0.093649998
0.5485	37.1992	55.798801	10.730539	0.094093987	0.094093995	0.094093993
0.54949999	38.016701	57.025051	10.966356	0.094537983	0.09453799	0.094537983
0.55049998	37.532475	56.29871	10.826675	0.094987983	0.094987979	0.094987982
0.55150002	37.894951	56.842422	10.931235	0.09544401	0.095444006	0.095444005
0.55250001	37.567226	56.350842	10.8367	0.095899998	0.095899997	0.095899997
0.5535	38.48196	57.722942	11.100566	0.096355994	0.096355989	0.096355987
0.55449998	38.992783	58.48917	11.247917	0.096811994	0.096811985	0.096811986
0.55549997	39.153782	58.730679	11.294361	0.097262974	0.097262976	0.097262976
0.55650002	37.757515	56.636272	10.891591	0.097709007	0.09770901	0.097709007
0.5575	38.450588	57.67588	11.091516	0.098155006	0.098154998	0.098154998
0.55849999	37.390793	56.086189	10.785806	0.098600988	0.098600986	0.098600983
0.55949998	38.001308	57.001965	10.961917	0.099046982	0.099046988	0.099046995
0.56050003	38.905132	58.357697	11.222634	0.099477012	0.099477007	0.099476997
0.56150001	38.664295	57.996441	11.153163	0.099891009	0.099891005	0.09989101
